player_id,player_index,n_observed_seasons,first_season_index,last_season_index,span_seasons,n_missing_within_span,has_gap,gap_count,recurrence_class
135927,743,3,5,12,8,5,TRUE,2,repeated-with-gap
135938,744,1,1,1,1,0,FALSE,0,one-season
136164,745,1,2,2,1,0,FALSE,0,one-season
137298,746,2,5,6,2,0,FALSE,0,consecutive-repeat
139075,747,5,7,11,5,0,FALSE,0,consecutive-repeat
140125,748,7,1,8,8,1,TRUE,1,repeated-with-gap
141176,749,1,3,3,1,0,FALSE,0,one-season
142755,750,1,10,10,1,0,FALSE,0,one-season
144628,751,3,5,8,4,1,TRUE,1,repeated-with-gap
146302,752,1,3,3,1,0,FALSE,0,one-season
149389,753,1,12,12,1,0,FALSE,0,one-season
167118,754,1,3,3,1,0,FALSE,0,one-season
167119,755,2,2,3,2,0,FALSE,0,consecutive-repeat
167120,756,1,2,2,1,0,FALSE,0,one-season
167131,757,1,1,1,1,0,FALSE,0,one-season
167145,758,4,8,12,5,1,TRUE,1,repeated-with-gap
167149,759,4,5,9,5,1,TRUE,1,repeated-with-gap
167641,760,3,4,6,3,0,FALSE,0,consecutive-repeat
169000,761,1,2,2,1,0,FALSE,0,one-season
169002,762,7,3,12,10,3,TRUE,1,repeated-with-gap
170595,763,1,1,1,1,0,FALSE,0,one-season
171643,764,1,10,10,1,0,FALSE,0,one-season
189976,765,2,1,2,2,0,FALSE,0,consecutive-repeat
190172,766,6,7,12,6,0,FALSE,0,consecutive-repeat
193984,767,3,6,8,3,0,FALSE,0,consecutive-repeat
207001,768,2,3,4,2,0,FALSE,0,consecutive-repeat
208694,769,6,3,9,7,1,TRUE,1,repeated-with-gap
208942,770,6,2,10,9,3,TRUE,1,repeated-with-gap
208945,771,1,9,9,1,0,FALSE,0,one-season
208972,772,2,2,3,2,0,FALSE,0,consecutive-repeat
209012,773,5,4,8,5,0,FALSE,0,consecutive-repeat
211853,774,7,2,8,7,0,FALSE,0,consecutive-repeat
211885,775,4,1,4,4,0,FALSE,0,consecutive-repeat
212074,776,1,7,7,1,0,FALSE,0,one-season
212621,777,1,3,3,1,0,FALSE,0,one-season
212625,778,2,7,8,2,0,FALSE,0,consecutive-repeat
212644,779,8,2,10,9,1,TRUE,1,repeated-with-gap
212651,780,1,2,2,1,0,FALSE,0,one-season
213124,781,3,4,7,4,1,TRUE,1,repeated-with-gap
213131,782,6,7,12,6,0,FALSE,0,consecutive-repeat
213308,783,1,5,5,1,0,FALSE,0,one-season
213365,784,1,6,6,1,0,FALSE,0,one-season
213714,785,2,6,7,2,0,FALSE,0,consecutive-repeat
213948,786,6,1,11,11,5,TRUE,1,repeated-with-gap
214062,787,2,4,5,2,0,FALSE,0,consecutive-repeat
215983,788,1,5,5,1,0,FALSE,0,one-season
217031,789,7,1,12,12,5,TRUE,1,repeated-with-gap
218549,790,1,1,1,1,0,FALSE,0,one-season
220656,791,1,2,2,1,0,FALSE,0,one-season
222439,792,1,7,7,1,0,FALSE,0,one-season
222464,793,1,7,7,1,0,FALSE,0,one-season
222770,794,3,4,6,3,0,FALSE,0,consecutive-repeat
223681,795,4,6,11,6,2,TRUE,2,repeated-with-gap
224080,796,2,4,5,2,0,FALSE,0,consecutive-repeat
225022,797,8,1,10,10,2,TRUE,2,repeated-with-gap
225084,798,9,1,12,12,3,TRUE,1,repeated-with-gap
225085,799,4,7,10,4,0,FALSE,0,consecutive-repeat
225089,800,9,1,10,10,1,TRUE,1,repeated-with-gap
225939,801,2,5,6,2,0,FALSE,0,consecutive-repeat
225946,802,5,2,7,6,1,TRUE,1,repeated-with-gap
225948,803,8,3,11,9,1,TRUE,1,repeated-with-gap
225996,804,6,2,11,10,4,TRUE,1,repeated-with-gap
226005,805,4,2,5,4,0,FALSE,0,consecutive-repeat
227756,806,1,3,3,1,0,FALSE,0,one-season
227894,807,12,1,12,12,0,FALSE,0,consecutive-repeat
228902,808,4,4,7,4,0,FALSE,0,consecutive-repeat
228963,809,2,10,11,2,0,FALSE,0,consecutive-repeat
230626,810,1,12,12,1,0,FALSE,0,one-season
230857,811,9,3,11,9,0,FALSE,0,consecutive-repeat
230862,812,9,2,11,10,1,TRUE,1,repeated-with-gap
230863,813,9,1,12,12,3,TRUE,2,repeated-with-gap
230883,814,3,9,11,3,0,FALSE,0,consecutive-repeat
230895,815,5,4,8,5,0,FALSE,0,consecutive-repeat
230897,816,3,1,4,4,1,TRUE,1,repeated-with-gap
230934,817,1,3,3,1,0,FALSE,0,one-season
230955,818,1,11,11,1,0,FALSE,0,one-season
230970,819,1,1,1,1,0,FALSE,0,one-season
231713,820,1,6,6,1,0,FALSE,0,one-season
234527,821,3,2,4,3,0,FALSE,0,consecutive-repeat
237018,822,3,2,7,6,3,TRUE,1,repeated-with-gap
237034,823,7,4,12,9,2,TRUE,2,repeated-with-gap
237262,824,1,9,9,1,0,FALSE,0,one-season
237269,825,1,4,4,1,0,FALSE,0,one-season
238564,826,2,7,9,3,1,TRUE,1,repeated-with-gap
239843,827,2,2,4,3,1,TRUE,1,repeated-with-gap
240445,828,2,3,4,2,0,FALSE,0,consecutive-repeat
240567,829,1,8,8,1,0,FALSE,0,one-season
240609,830,1,11,11,1,0,FALSE,0,one-season
240680,831,2,6,12,7,5,TRUE,1,repeated-with-gap
241945,832,4,3,6,4,0,FALSE,0,consecutive-repeat
242697,833,5,6,10,5,0,FALSE,0,consecutive-repeat
247141,834,12,1,12,12,0,FALSE,0,consecutive-repeat
247169,835,4,4,9,6,2,TRUE,1,repeated-with-gap
247207,836,8,2,11,10,2,TRUE,2,repeated-with-gap
247212,837,1,3,3,1,0,FALSE,0,one-season
247219,838,5,1,6,6,1,TRUE,1,repeated-with-gap
247220,839,5,4,8,5,0,FALSE,0,consecutive-repeat
247222,840,4,2,5,4,0,FALSE,0,consecutive-repeat
247671,841,2,11,12,2,0,FALSE,0,consecutive-repeat
248846,842,1,3,3,1,0,FALSE,0,one-season
249917,843,2,7,8,2,0,FALSE,0,consecutive-repeat
250805,844,9,4,12,9,0,FALSE,0,consecutive-repeat
250885,845,8,1,8,8,0,FALSE,0,consecutive-repeat
