feature_k,feature_l,obs_corr,pred_corr,pred_lo,pred_hi
per90_fouls_suffered,per90_assists,0.26474017774467995,0.2983626805773028,0.27589813790740997,0.3209853750852822
per90_yellow_cards,per90_assists,-0.1304454272102218,-0.1089374050445287,-0.12720509358289217,-0.08768333302656893
per90_xg_assist,per90_xg_shot,0.36767968947284174,0.3195994732197084,0.29249950210599446,0.34598644519595856
per90_shots,per90_xg_shot,0.8359842731559047,0.5728085208811754,0.5532992203256136,0.5929269343840468
per90_head_shots,per90_xg_shot,0.5430339835343442,0.23564506468414298,0.20773137346202736,0.2672799630924186
per90_received_pass,per90_xg_shot,-0.35764914463395747,-0.44646179464688895,-0.4721812662832281,-0.4186844584887854
per90_passes,per90_xg_shot,-0.483587136240193,-0.5379837123860385,-0.562081120949534,-0.5139178949811932
per90_forward_passes,per90_xg_shot,-0.6592222029280721,-0.6789904131935083,-0.6964707793171468,-0.6615475915571493
per90_back_passes,per90_xg_shot,0.17351918927569018,0.18605115764752506,0.15472499051864433,0.21833425788014643
per90_lateral_passes,per90_xg_shot,-0.4838507443052056,-0.556663013327637,-0.5771355018441444,-0.5333283173130914
per90_long_passes,per90_xg_shot,-0.6285943725117781,-0.6241050614019399,-0.6425064402092119,-0.6079649275135521
per90_smart_passes,per90_xg_shot,0.2780810730331351,0.19679091740735477,0.15697987679929343,0.23214466055791425
per90_progressive_passes,per90_xg_shot,-0.6363589908838657,-0.6061807674955525,-0.6295764520541723,-0.5816555716675939
per90_passes_to_final_third,per90_xg_shot,-0.44292436543724767,-0.5022095722241231,-0.5246540796779782,-0.47919324663258234
per90_key_passes,per90_xg_shot,0.3527924211854281,0.3247011288675583,0.2951232860093596,0.3517908683761592
per90_through_passes,per90_xg_shot,0.13688042038051274,0.012314959754334377,-0.016229196299920555,0.03988570154220453
per90_crosses,per90_xg_shot,0.0811037932721754,0.24698545835215863,0.2161425193412827,0.2778703111183301
per90_shot_assists,per90_xg_shot,0.339883533783617,0.3358986507435156,0.3015655264825651,0.36438337964159184
rate_successful_passes,per90_xg_shot,-0.3221432781780391,-0.41004655097592024,-0.4331854463404228,-0.38518463669273906
rate_successful_progressive_passes,per90_xg_shot,-0.011624004023885123,-0.07890321054029578,-0.10591365531443868,-0.05270913778094901
per90_dribbles,per90_xg_shot,0.3896772306067936,0.44213655499470017,0.40905104684375737,0.4721984660735266
per90_progressive_run,per90_xg_shot,0.19213496280255954,0.2475336074193929,0.21949427293953538,0.27435562142858194
per90_accelerations,per90_xg_shot,0.16108719212634992,0.24891074055943382,0.2170580578470123,0.27787827302116785
rate_successful_dribbles,per90_xg_shot,-0.17478294853853563,-0.21356679036038717,-0.23682114409901356,-0.19085189867822897
per90_touch_in_box,per90_xg_shot,0.8494414419585781,0.6037563533935901,0.5860051113462116,0.6225453309431797
per90_losses,per90_xg_shot,0.37562304758096987,0.36305438790384315,0.33427334239164014,0.38954689399932685
per90_own_half_losses,per90_xg_shot,-0.453472771019337,-0.37809418244667453,-0.4002231228918244,-0.3569213128872247
per90_dangerous_own_half_losses,per90_xg_shot,-0.40782650943793475,-0.40007042560883327,-0.4187913615326727,-0.37981387605987343
per90_recoveries,per90_xg_shot,-0.7415951550876542,-0.6787315082769624,-0.6944255216194148,-0.6617396977211734
per90_opponent_half_recoveries,per90_xg_shot,-0.22288881796908916,-0.14181934947721936,-0.17085604565823614,-0.11214498176131413
per90_dangerous_opponent_half_recoveries,per90_xg_shot,0.1381781225604788,0.11422119597019352,0.09041186366879218,0.1383237861027994
per90_interceptions,per90_xg_shot,-0.6853439954899764,-0.5926023738593655,-0.6137442118275573,-0.5681946272615102
per90_clearances,per90_xg_shot,-0.5465539511474538,-0.53508439643266,-0.5562351825261573,-0.513651492858659
per90_shots_blocked,per90_xg_shot,-0.42519881430322365,-0.4711611689524703,-0.4929512641610709,-0.45080882751234735
per90_defensive_duels,per90_xg_shot,-0.5279348453283456,-0.29524978766575005,-0.3222818972318091,-0.2651362065447174
per90_offensive_duels,per90_xg_shot,0.528552474576157,0.536457012945522,0.5114038533145584,0.5594089260372752
per90_aerial_duels,per90_xg_shot,0.26681709934982556,0.16152916199046172,0.13095002374223286,0.1926557527159382
per90_pressing_duels,per90_xg_shot,0.44257001300028487,0.4016161179344505,0.3463469556489322,0.44325036087671643
per90_loose_ball_duels,per90_xg_shot,0.3906279199482363,0.33382755995524105,0.29930006243662916,0.3624982873098904
per90_sliding_tackles,per90_xg_shot,-0.22050278001228435,-0.1974111485559042,-0.2246963576207855,-0.16928863327430596
per90_dribbles_against,per90_xg_shot,-0.5863477189996692,-0.35489821171550323,-0.3827084757001674,-0.3233072122420409
rate_defensive_duels_won,per90_xg_shot,-0.32371104363051867,-0.35874099574054197,-0.38917040152971827,-0.3223502617580233
rate_offensive_duels_won,per90_xg_shot,-0.3624937228895013,-0.32068806348857337,-0.34597835679916433,-0.2974704386418074
rate_aerial_duels_won,per90_xg_shot,-0.3782991876575375,-0.4373882730554543,-0.459852863642501,-0.4149428003955591
per90_fouls,per90_xg_shot,0.08595402663759465,0.13147325253125236,0.10380455884274822,0.1588472582309084
per90_fouls_suffered,per90_xg_shot,0.33164110259120616,0.344620265435932,0.3189285101181874,0.3737287698660512
per90_yellow_cards,per90_xg_shot,-0.15617835689641052,-0.11293531787891099,-0.14047663554230316,-0.08816208193670207
per90_shots,per90_xg_assist,0.5087484109198934,0.4793520853348311,0.4567131899644612,0.5014060813653175
per90_head_shots,per90_xg_assist,-0.1379884068137971,-0.14013869716673702,-0.17269656452893442,-0.10717975400923248
per90_received_pass,per90_xg_assist,0.099286519087077793,0.12538409299748318,0.09364415953281488,0.1576327624525161
per90_passes,per90_xg_assist,0.012418028650859846,0.04009787993045684,0.003919276656127741,0.0740555129337011
per90_forward_passes,per90_xg_assist,-0.2281605196668047,-0.21433698288562097,-0.24494171237664225,-0.18445364324117824
per90_back_passes,per90_xg_assist,0.5365833341881299,0.552961651413804,0.533339116431479,0.5742257495249217
per90_lateral_passes,per90_xg_assist,-0.12126057622291005,-0.09103347333360506,-0.12098657159286846,-0.060032707082101865
per90_long_passes,per90_xg_assist,-0.2435854871798338,-0.2775164538791167,-0.30712228362022703,-0.24859754778362905
per90_smart_passes,per90_xg_assist,0.5070059810117381,0.43865611314867664,0.36809575030247416,0.5002712113710374
per90_progressive_passes,per90_xg_assist,-0.053366610723337676,-0.09431584585956383,-0.1287783412804617,-0.06024610876120328
per90_passes_to_final_third,per90_xg_assist,-0.0532505163576619,-0.017064948856413686,-0.05168412888955696,0.01632395231526114
per90_key_passes,per90_xg_assist,0.8387425841884651,0.5981251989718074,0.5794033771018589,0.6154210325503574
per90_through_passes,per90_xg_assist,0.4577037491991794,0.3795247417547202,0.34450795685843316,0.4082504945230962
per90_crosses,per90_xg_assist,0.609229060602598,0.5041926401498052,0.48122972896836647,0.5274344387242881
per90_shot_assists,per90_xg_assist,0.8950210053459812,0.6661012534561201,0.6467099701125303,0.683649805451241
rate_successful_passes,per90_xg_assist,-0.2564183239978026,-0.1795819942131688,-0.21139900793689387,-0.14845807786254103
rate_successful_progressive_passes,per90_xg_assist,0.32069917946747917,0.28576125030563593,0.2567883252212863,0.3142175545858351
