player_name,player_id,season_id,season_index,feature,eps_std,eps_raw,abs_std
A. Ezzalzouli,643199,187526,8,per90_progressive_run,4.788850764224282,2.4309111944410593,4.788850764224282
Fer Niño,486425,187526,8,rate_successful_progressive_passes,-4.7885932441855035,-3.934545442769727,4.7885932441855035
C. Bacca,37831,187526,8,per90_xg_shot,-4.765858222346584,-1.9000042198609708,4.765858222346584
A. Sanabria,225946,181144,4,per90_goals,4.757245308372247,2.765145462574337,4.757245308372247
Zakaria Bakkali,239843,9630,2,per90_xg_assist,4.751864398048896,2.9785434133327056,4.751864398048896
Moi Gómez,3536,191659,12,rate_aerial_duels_won,4.751070229660948,2.692353245872502,4.751070229660948
Koke,3443,9630,2,per90_smart_passes,4.746715002236962,2.108287051964943,4.746715002236962
J. Geis,15455,181144,4,rate_successful_dribbles,-4.742556474234209,-4.435331278947479,4.742556474234209
A. Griezmann,3682,186267,7,per90_touch_in_box,4.733112862023682,1.709276284916248,4.733112862023682
Juanmi Latasa,558779,188124,9,per90_losses,4.729391904662613,2.51966497858787,4.729391904662613
Xavi Torres,3933,10837,3,rate_successful_dribbles,-4.723066450549166,-4.417103828805907,4.723066450549166
C. Stuani,3714,8504,1,per90_aerial_duels,4.720900815047933,1.814199122261873,4.720900815047933
Pablo Ínsua,6950,8504,1,rate_offensive_duels_won,-4.718946792421636,-3.3810613567945755,4.718946792421636
A. Sørloth,55224,189974,11,per90_shots,4.716615843563019,1.8994924120143306,4.716615843563019
Iván Ramis,3642,8504,1,per90_shots_blocked,4.707518424102989,2.935437319144136,4.707518424102989
Jon Martín,831472,189974,11,rate_offensive_duels_won,-4.706092255757048,-3.371851255666516,4.706092255757048
W. Swedberg,652912,189012,10,per90_goals,4.703380552926903,2.7338366116621833,4.703380552926903
Kike García,3874,185828,6,per90_head_shots,4.698766660583396,2.3283968723887813,4.698766660583396
H. Hassan,589806,191659,12,per90_progressive_run,4.697418360816697,2.3844983776879043,4.697418360816697
Neymar,40810,8504,1,per90_smart_passes,4.679683727685025,2.0785146371163674,4.679683727685025
A. Solari,212625,186267,7,per90_xg_assist,4.67832842084507,2.9324499051439252,4.67832842084507
Jordi Alba,3269,188124,9,per90_crosses,4.674806093993978,1.7779881374751636,4.674806093993978
E. Mor,281255,186267,7,per90_crosses,-4.6717039878318545,-1.7768083007404314,4.6717039878318545
Adrián López,3451,181144,4,per90_head_shots,4.658849621068303,2.3086166371322334,4.658849621068303
K. Benzema,3321,188124,9,per90_xg_shot,4.655274729759948,1.8559179099543113,4.655274729759948
Joel Robles,4320,185641,5,rate_successful_dribbles,-4.653714188699887,-4.35224424138359,4.653714188699887
R. De Paul,213948,8504,1,per90_offensive_duels,4.6488847345520545,1.4649536106951708,4.6488847345520545
Raúl Carnero,6513,186267,7,per90_crosses,4.6378449328298155,1.7639305477536094,4.6378449328298155
