K,pc,feature,group,loading,ci_lo,ci_hi,reliable
4,PC4,per90_key_passes,Passing volume,-0.2254290115273697,-0.23531511256299784,-0.21694723799756138,TRUE
4,PC4,per90_through_passes,Passing volume,0.007654477585083493,0.00286754312084736,0.01562687001732671,TRUE
4,PC4,per90_crosses,Passing volume,-0.35717861522815614,-0.37010060791640487,-0.35146447165804723,TRUE
4,PC4,per90_shot_assists,Passing volume,-0.12006842945942965,-0.14396180519612078,-0.09989058807196298,TRUE
4,PC4,rate_successful_passes,Passing quality,0.3716429250761166,0.3315867566503862,0.43186063327448115,TRUE
4,PC4,rate_successful_progressive_passes,Passing quality,0.05409641362204295,0.041536516088381215,0.07772858799732998,TRUE
4,PC4,per90_dribbles,Progressive actions,-0.04590890468561459,-0.08400280740682657,-0.01837157217499209,TRUE
4,PC4,per90_progressive_run,Progressive actions,-0.14216822745598073,-0.15726664428490117,-0.12877425871246154,TRUE
4,PC4,per90_accelerations,Progressive actions,-0.1336614516623767,-0.14730037656518355,-0.12057980437247105,TRUE
4,PC4,rate_successful_dribbles,Progressive actions,-0.01796096272484886,-0.02521547297429673,-0.00503069078819246,TRUE
4,PC4,per90_touch_in_box,Attacking output,-0.029452579326407546,-0.03963902739569283,-0.019431955705633268,TRUE
4,PC4,per90_losses,Defending,-0.08180983698665246,-0.09787568689744634,-0.07749671628282752,TRUE
4,PC4,per90_own_half_losses,Defending,-0.04070994233575055,-0.04678746399561118,-0.03683074921434614,TRUE
4,PC4,per90_dangerous_own_half_losses,Defending,-0.021589099845800777,-0.037822556831987895,-0.003220731144264643,TRUE
4,PC4,per90_recoveries,Defending,0.04847581708611942,0.0444702573311244,0.057156491702818266,TRUE
4,PC4,per90_opponent_half_recoveries,Defending,0.4922660145953914,0.4449391918367006,0.5212213596888782,TRUE
4,PC4,per90_dangerous_opponent_half_recoveries,Defending,0.27712906607467375,0.24151023176077305,0.30091245655320265,TRUE
4,PC4,per90_interceptions,Defending,-0.06399406045302167,-0.07800962363267425,-0.05055299481589545,TRUE
4,PC4,per90_clearances,Defending,-0.2661115013611192,-0.2950777271228787,-0.22406152302432814,TRUE
4,PC4,per90_shots_blocked,Defending,-0.026153720874829412,-0.052990244256976585,0.007808945236578511,FALSE
4,PC4,per90_defensive_duels,Dueling,0.2754711066122662,0.20269074379393429,0.33574042417972927,TRUE
4,PC4,per90_offensive_duels,Dueling,0.08750770919158299,0.04270390248638762,0.12366728883570131,TRUE
4,PC4,per90_aerial_duels,Dueling,0.16302941444706096,0.15212137990855112,0.17478786726201742,TRUE
4,PC4,per90_pressing_duels,Dueling,0.1478413608482043,0.11447936880802696,0.17436410698312366,TRUE
4,PC4,per90_loose_ball_duels,Dueling,0.3288181456708581,0.2800348149958154,0.36945109869683734,TRUE
4,PC4,per90_sliding_tackles,Defending,0.20622010975779023,0.1869448729650567,0.2231088231491164,TRUE
4,PC4,per90_dribbles_against,Defending,0.050544822557309986,0.015470468616969685,0.08059595897446964,TRUE
4,PC4,rate_defensive_duels_won,Defending,-0.009552022195395448,-0.02198238362967661,0.010307831156130029,FALSE
4,PC4,rate_offensive_duels_won,Dueling,-0.12927764596040286,-0.14349840786778628,-0.11475754025646336,TRUE
4,PC4,rate_aerial_duels_won,Dueling,-0.035508058908082035,-0.06324622538818969,-0.005332288541856703,TRUE
4,PC4,per90_fouls,Discipline,0.48157212181346953,0.4070015847262754,0.5434697371254232,TRUE
4,PC4,per90_fouls_suffered,Discipline,0.2968566583024683,0.23770284965894795,0.34116695150349696,TRUE
4,PC4,per90_yellow_cards,Discipline,0.19531133535047288,0.17245278871779574,0.21638968907855408,TRUE
