pc,feature,group,loading,ci_lo,ci_hi,reliable
PC3,per90_accelerations,Progressive actions,-0.16893101837991173,-0.186453058768262,-0.151513815279214,TRUE
PC3,rate_successful_dribbles,Progressive actions,0.141547420890634,0.12454248061805467,0.15756105665847087,TRUE
PC3,per90_touch_in_box,Attacking output,0.17250589790505003,0.1594891221557239,0.1861552503784535,TRUE
PC3,per90_losses,Defending,-0.25235343183267006,-0.2711296006293575,-0.2346220593434277,TRUE
PC3,per90_own_half_losses,Defending,-0.26331214781722934,-0.27986317261406146,-0.24764902291770785,TRUE
PC3,per90_dangerous_own_half_losses,Defending,-0.025564609243077678,-0.03848214002571803,-0.011972941248399885,TRUE
PC3,per90_recoveries,Defending,-0.0941155467850144,-0.10634521848732573,-0.08243165251383983,TRUE
PC3,per90_opponent_half_recoveries,Defending,-0.007603919962683534,-0.03158103206423722,0.01461617423564398,FALSE
PC3,per90_dangerous_opponent_half_recoveries,Defending,0.050128632923666865,0.033295792069969125,0.0688829018325826,TRUE
PC3,per90_interceptions,Defending,-0.24513610299649588,-0.2581943124548129,-0.23198369544031097,TRUE
PC3,per90_clearances,Defending,-0.18083366560548206,-0.19618628872217003,-0.16617858881584882,TRUE
PC3,per90_shots_blocked,Defending,0.057399098803222574,0.04270673292292641,0.07097314189607828,TRUE
PC3,per90_defensive_duels,Dueling,-0.44011013184915876,-0.46128938856411106,-0.41832017486561923,TRUE
PC3,per90_offensive_duels,Dueling,-0.04146313606558225,-0.05766843824216167,-0.025381212404194407,TRUE
PC3,per90_aerial_duels,Dueling,0.11663030930365229,0.0955357412124844,0.13619446721050568,TRUE
PC3,per90_pressing_duels,Dueling,-2.3172828061156618e-4,-0.013787604748406427,0.013567336604337668,FALSE
PC3,per90_loose_ball_duels,Dueling,-0.0015927285954733263,-0.020152280477713627,0.017478232217559415,FALSE
PC3,per90_sliding_tackles,Defending,-0.060518112892328564,-0.081203646020071,-0.03857647620916838,TRUE
PC3,per90_dribbles_against,Defending,-0.45940289025304304,-0.47749671816134853,-0.44160898319653247,TRUE
PC3,rate_defensive_duels_won,Defending,0.09965953874860113,0.08479372862112075,0.11444286111762539,TRUE
PC3,rate_offensive_duels_won,Dueling,-0.06069982386847051,-0.07844968941168537,-0.043258071413630264,TRUE
PC3,rate_aerial_duels_won,Dueling,0.04608037173331529,0.028385021010196996,0.06286959683545881,TRUE
PC3,per90_fouls,Discipline,-0.10969976641649475,-0.13184785988203665,-0.08739460271192916,TRUE
PC3,per90_fouls_suffered,Discipline,8.992874281641822e-4,-0.019835987350846573,0.0205057833980168,FALSE
PC3,per90_yellow_cards,Discipline,-0.09182006164143328,-0.11033887123348662,-0.07348863851922005,TRUE
