component,observed_variable,mean,median,sd,q5,q95,rhat,ess_bulk,ess_tail
player,rate_dribbles_against_won,0.1865066061775,0.185789065,0.02002707239901188,0.1552879835,0.22054698049999996,1.002634215695763,1121.4313466743813,2055.1441029605926
player,rate_successful_sliding_tackles,0.057197972694,0.0570952765,0.01340747488438099,0.03523673335,0.07985368324999999,0.9996520869246004,983.6404762618234,1428.4866360866022
player,per90_fouls,0.769235338875,0.7694650249999999,0.03270247630121863,0.715683384,0.8230516694999999,1.0026152302339164,809.0513071052175,1865.8002092163968
player,per90_fouls_suffered,0.833421195355,0.8329821799999999,0.03261196830024166,0.7802662635000001,0.887816526,1.0040489201622476,893.3965628772639,1651.5496109279009
player,per90_yellow_cards,0.4538633128825,0.453304415,0.02605534109003144,0.4115258134999999,0.4978341295,0.9999767375505116,1454.5175691001753,2322.3099024742896
season,per90_goals,0.00323868169629675,0.00262349125,0.00260057281615054,7.218763295e-4,0.00762803632999999,1.0017189552667376,1510.958536408147,2368.768990093537
season,per90_assists,0.0093870423149975,0.007813848,0.00631974099720338,0.00308234377,0.02046766449999998,1.0017376390068526,1526.0099092690896,2278.154704805174
season,per90_xg_shot,0.00119940015572091,9.1337081e-4,0.00112347922108839,1.1216634100000004e-4,0.00327857127499999,1.000284396557246,938.4300360394652,1159.0345540476962
season,per90_xg_assist,0.00329846887909235,0.00263572375,0.00267362619250157,8.164348025e-4,0.00767215474499999,1.0022450341734634,1640.7035502200154,2135.613298300934
season,per90_shots,0.007355876459675,0.00609669315,0.00472008718045345,0.002875337945,0.0159213952,1.002253996682052,1334.1972890186955,2291.060542315778
season,per90_head_shots,9.515611716681464e-4,6.51981805e-4,0.00107956676944651,1.7942524099999997e-5,0.00297737442999999,1.004030047446247,1023.6067006148118,1778.2655101242397
season,rate_shots_on_target,0.00148436636180992,7.98903685e-4,0.00244367726279336,1.2027001650000003e-5,0.00501222470499999,1.001284159684234,1368.6669838034331,2220.975750860554
season,rate_goal_conversion,0.00282143583208037,0.0021009292,0.00268384547276471,1.4685400700000003e-4,0.007928326355,1.0022871627331276,1098.0610084923612,1236.8956996548852
season,per90_received_pass,0.037381520677225,0.0320079795,0.02075150075091411,0.0162257122,0.07575639629999999,1.0027474331715476,1285.3083777349104,2128.5468469109924
season,per90_passes,0.009898473688425,0.008324894,0.0063677708717212,0.003934057985,0.02086812659999999,1.0056681959864529,1285.2653310610983,2359.9009491021698
season,per90_forward_passes,0.0038853831372675,0.0032768674,0.00245390730837666,0.00139962996,0.008298501755,1.0017424905808006,1485.173106111679,2615.6017989135244
season,per90_back_passes,0.0082098228141,0.00689230375,0.00513119736781923,0.003069874935,0.01733861074999999,1.0023017685059492,1592.732388747453,2273.497051332321
season,per90_lateral_passes,0.016454355394625,0.01391388849999999,0.00990535631450609,0.00666859501,0.03459367479999999,1.0014011351347496,1378.7163764568606,1882.056889633252
season,per90_long_passes,0.0046413305734025,0.00382250709999999,0.00317954101790897,0.001586247895,0.01028080069999999,1.0008763306412896,1402.9135766738946,2269.7889957038874
season,per90_smart_passes,0.42057634054,0.379317905,0.1835913188287262,0.203545731,0.7614880124999999,1.0018746536971552,1657.834447352031,2402.1295966353928
season,per90_progressive_passes,0.0492382448715,0.0427496655,0.02690198191946161,0.02174142195,0.09850181699999998,1.0034867664733025,1069.6944336946997,2076.0853708361933
