query_player_index,query_player_name,query_archetype,neighbor_index,style_dist_mean,style_dist_q05,style_dist_q95,p_closest_neighbor,player_name,archetype
38,K. Benzema,Attacking midfielders,182,1.1371995499296723,0.7540478903839279,1.5682365223791352,0.002,A. Griezmann,Attacking midfielders
38,K. Benzema,Attacking midfielders,435,1.2067237485732227,0.7222357370263727,1.6885226438955385,0.00375,G. Bale,Attacking midfielders
38,K. Benzema,Attacking midfielders,964,1.256635235574149,0.7585758757293298,1.8117742981458074,0.00475,Malcom,Attacking midfielders
53,Sergio Busquets,Defensive midfielders,1414,0.5632780152671729,0.29053263650819316,0.8826202487559599,0.14675,Marc Casadó,Midfielders
53,Sergio Busquets,Defensive midfielders,468,0.5684431865471782,0.2571339983440463,0.9471660453394078,0.15475,NA,Defensive midfielders
53,Sergio Busquets,Defensive midfielders,1454,0.6061366828031797,0.28762357483901424,0.987915700150854,0.11925,Damián Rodríguez,Defensive midfielders
53,Sergio Busquets,Defensive midfielders,1493,0.6190168621865196,0.2254551653350294,1.0747852190359204,0.1715,Dean Huijsen,Defensive midfielders
53,Sergio Busquets,Defensive midfielders,1196,0.6425337886676248,0.34942135817874587,0.9829909663611037,0.05575,Eric García,Defensive midfielders
53,Sergio Busquets,Defensive midfielders,1202,0.7051905905460044,0.2995211359483814,1.194395117472856,0.08825,L. Krejčí,Defensive midfielders
53,Sergio Busquets,Defensive midfielders,432,0.706078345133459,0.38513635230416143,1.0941692243385606,0.0355,Marcos Alonso,Defensive midfielders
53,Sergio Busquets,Defensive midfielders,60,0.7181527707340991,0.4204735813754381,1.0459113413080317,0.02525,J. Mascherano,Defensive midfielders
53,Sergio Busquets,Defensive midfielders,662,0.7220998134495551,0.39659777754168773,1.1432766877995122,0.0325,M. Díaz,Defensive midfielders
53,Sergio Busquets,Defensive midfielders,1503,0.7295245888892425,0.3550072857110976,1.190927224252777,0.048,M. Perrone,Defensive midfielders
313,Saúl Ñíguez,Defensive midfielders,365,0.36530455929439337,0.12229272395335235,0.7087872953026295,0.07425,Mikel Rico,Midfielders
313,Saúl Ñíguez,Defensive midfielders,871,0.3905615206584427,0.1447908074388171,0.7310792942696739,0.047,Gerard Gumbau,Defensive midfielders
313,Saúl Ñíguez,Defensive midfielders,317,0.40384130098668175,0.17120958531549726,0.711022967488536,0.02875,Álex Fernández,Midfielders
313,Saúl Ñíguez,Defensive midfielders,1187,0.406830689809356,0.12739864420615235,0.8197310260888782,0.0655,Monchu,Defensive midfielders
313,Saúl Ñíguez,Defensive midfielders,138,0.4098852094718381,0.151220786409401,0.7734212503145173,0.03975,Nacho Monreal,Defensive midfielders
313,Saúl Ñíguez,Defensive midfielders,1034,0.4106637518056522,0.17107331425920086,0.7457022817949086,0.026,Manu Morlanes,Defensive midfielders
313,Saúl Ñíguez,Defensive midfielders,859,0.4304111452689381,0.15499749917755307,0.7875139285605224,0.0325,J. Lerma,Defensive midfielders
313,Saúl Ñíguez,Defensive midfielders,209,0.4357130985081476,0.1558487437946475,0.8045104046479113,0.0365,Javi Márquez,Midfielders
313,Saúl Ñíguez,Defensive midfielders,1092,0.44540040856197544,0.2112040611036476,0.7297060047617014,0.00925,Santi Comesaña,Defensive midfielders
313,Saúl Ñíguez,Defensive midfielders,1051,0.4496151287709061,0.1826099778420652,0.7913173049361144,0.0245,Y. Herrera,Defensive midfielders
436,L. Modrić,Midfielders,1395,0.3955040665034188,0.1570660631810206,0.7056549223732045,0.50475,Pedri,Midfielders
436,L. Modrić,Midfielders,18,0.5924055477364433,0.19418106883194444,1.0615549965297648,0.216,É. Banega,Midfielders
