"player_index","player_id","player_name","archetype","cluster","pc1_score","pc2_score","pc3_score","n_seasons"
78,3407,"Jonás Ramalho","Centre backs",1,4.05579572519107,-1.83247177691795,-0.0934602430526563,2
79,3408,"Enric Saborit","Defensive midfielders",3,2.90751968244295,-0.477223356125887,-1.92425343378428,2
80,3409,"Mikel San José","Defensive midfielders",3,2.67494604162202,-0.0424359533596508,0.479020865534606,5
81,3412,"Gurpegi","Centre backs",1,5.56437668913892,-2.87131007206035,0.627200959700579,2
82,3413,"Ander Herrera","Defensive midfielders",3,2.35458952424143,3.18424310093967,0.745718625635601,2
83,3414,"Ander Iturraspe","Defensive midfielders",3,3.98463355452256,1.17726099494041,0.217921054855222,4
84,3418,"Iñigo Ruiz de Galarreta","Defensive midfielders",3,1.79980568554198,2.14863811358695,0.0930816022230787,5
85,3419,"Iñigo Pérez","Defensive midfielders",3,0.633991077451526,0.790795686834312,0.50082250916534,2
86,3420,"Markel Susaeta","Attacking midfielders",2,-3.41180899794974,2.44091151993742,-0.743353204250339,5
87,3421,"Óscar De Marcos","Defensive midfielders",3,1.51155842551503,2.3164727749898,-1.59679797985208,11
88,3423,"Ibai Gómez","Attacking midfielders",2,-3.24295046663789,1.17813390412832,0.290916146002028,6
89,3424,"Fernando Llorente","Forwards",4,-5.25337980107331,-4.5319586126724,1.84968199040029,1
90,3425,"Iker Muniain","Attacking midfielders",2,-3.57086917255444,3.01935704549984,2.15882509894947,10
91,3426,"Gaizka Toquero","Attacking midfielders",2,-1.85521585946843,0.397634520581804,-1.47945488893359,1
92,3431,"Miranda","Centre backs",1,5.25040424917177,-3.61300941309253,-0.320229043602826,1
93,3433,"D. Godín","Centre backs",1,4.68669920260477,-3.37487719061134,0.863210264527626,5
94,3434,"Filipe Luís","Midfielders",5,2.35203855623046,3.61017809188095,-0.296254678182726,4
95,3436,"Javi Manquillo","Defensive midfielders",3,3.86063514300477,0.53813914802334,0.344801168254511,2
96,3440,NA,"Defensive midfielders",3,4.26695883724078,1.62870703426753,2.39308628500755,3
97,3441,"Gabi","Defensive midfielders",3,4.30371495050604,3.31857769552627,0.491111814418934,4
98,3442,"Fran Mérida","Defensive midfielders",3,2.23658732031572,2.97713223718323,0.366790342356254,2
99,3443,"Koke","Midfielders",5,1.85724515055043,3.99977233802509,2.10324201797609,12
100,3446,"Mario Suárez","Defensive midfielders",3,3.35326565953785,-0.586101169600863,1.1300129702669,4
101,3447,"Juanfran","Defensive midfielders",3,1.56446605431019,1.31462373529379,-1.4232374455707,5
102,3448,"A. Turan","Midfielders",5,-2.34975406582278,3.98168766868032,2.05468464293772,3
103,3450,"R. Falcao","Forwards",4,-5.35108819934587,-5.2849667138376,1.41772606265782,3
104,3451,"Adrián López","Attacking midfielders",2,-4.37775279907209,-0.0331429725951458,0.930579790120946,5
105,3460,"Coke","Defensive midfielders",3,1.5832353768346,0.219353600211919,-1.30902739500891,6
106,3464,"Antonio Luna","Defensive midfielders",3,2.48078414299305,1.43617239084281,-2.11889701664205,4
107,3465,"Fernando Navarro","Defensive midfielders",3,3.72703682366901,-0.124259909013876,-1.5140849699499,4
108,3466,"Alexis","Centre backs",1,4.13083313457538,-3.22728873656526,-0.102491988518428,4
