feature,factor,loading,q5,q95,group,abs_loading
rate_successful_passes,PCA_Factor_2,0.3066426142125912,0.14787205363913386,0.40133568663482533,Passing quality,0.3066426142125912
rate_successful_progressive_passes,PCA_Factor_2,0.39600671842592927,0.35280822251333455,0.44596188394351705,Passing quality,0.39600671842592927
rate_successful_crosses,PCA_Factor_2,0.0788450729252494,0.04192664981258922,0.10936937823453245,Passing quality,0.0788450729252494
per90_dribbles,PCA_Factor_2,0.35702947008749364,0.21080137420189624,0.5619068542803485,Progressive actions,0.35702947008749364
per90_progressive_run,PCA_Factor_2,0.459985002381187,0.3442922985264096,0.6127408802608876,Progressive actions,0.459985002381187
per90_accelerations,PCA_Factor_2,0.35275617045776814,0.24482351587941878,0.5004711313386151,Progressive actions,0.35275617045776814
rate_successful_dribbles,PCA_Factor_2,0.02959045089622033,-0.05164980225185866,0.08712126998586962,Progressive actions,0.02959045089622033
per90_touch_in_box,PCA_Factor_2,0.10204433827379314,-0.04189723996395743,0.33556185762544327,Attacking output,0.10204433827379314
per90_losses,PCA_Factor_2,0.30368595170850216,0.1885298144261887,0.46654221525667544,Defending,0.30368595170850216
per90_own_half_losses,PCA_Factor_2,0.3253937662107166,0.23143737696354713,0.3871998369674612,Defending,0.3253937662107166
per90_dangerous_own_half_losses,PCA_Factor_2,0.14714877654028655,0.009332939678111558,0.23287405964325483,Defending,0.14714877654028655
per90_recoveries,PCA_Factor_2,0.25705934351230986,0.03719081030192245,0.3838903340456173,Defending,0.25705934351230986
per90_opponent_half_recoveries,PCA_Factor_2,0.6067049677381492,0.5556051123027842,0.6666194229391793,Defending,0.6067049677381492
per90_dangerous_opponent_half_recoveries,PCA_Factor_2,0.47373867844487233,0.39227296939222356,0.5669306351197975,Defending,0.47373867844487233
per90_interceptions,PCA_Factor_2,0.2203671987048118,0.035132193891691074,0.32781058782816525,Defending,0.2203671987048118
per90_clearances,PCA_Factor_2,-0.05468208956249605,-0.2392921259591,0.06375145312585466,Defending,0.05468208956249605
per90_shots_blocked,PCA_Factor_2,0.04565494131882374,-0.12046021399978837,0.15507596146593874,Defending,0.04565494131882374
per90_defensive_duels,PCA_Factor_2,0.4810488911142935,0.4215105000474456,0.5382634580473139,Dueling,0.4810488911142935
per90_offensive_duels,PCA_Factor_2,0.3091877240047524,0.15131812609020653,0.5480052263653485,Dueling,0.3091877240047524
per90_aerial_duels,PCA_Factor_2,-0.21011517973944455,-0.25660594096006945,-0.15601493802898625,Dueling,0.21011517973944455
per90_pressing_duels,PCA_Factor_2,0.027739489964647226,-0.0689931790589673,0.1818561411850871,Dueling,0.027739489964647226
per90_loose_ball_duels,PCA_Factor_2,0.1138922723424406,0.02711875190695401,0.23704155743056848,Dueling,0.1138922723424406
per90_sliding_tackles,PCA_Factor_2,0.21661003829017683,0.1492800482997486,0.2671607266971343,Defending,0.21661003829017683
per90_dribbles_against,PCA_Factor_2,0.42723935889550607,0.34363336830124264,0.4864648620642449,Defending,0.42723935889550607
rate_defensive_duels_won,PCA_Factor_2,0.08193890543627587,-0.021501353495673482,0.1476549554046347,Defending,0.08193890543627587
rate_offensive_duels_won,PCA_Factor_2,-0.03173668230544718,-0.13201355153119318,0.0365977747316852,Dueling,0.03173668230544718
rate_aerial_duels_won,PCA_Factor_2,-0.37308039860409176,-0.5412029359638355,-0.24990306496376638,Dueling,0.37308039860409176
rate_dribbles_against_won,PCA_Factor_2,-0.029837454736435686,-0.12370929848646765,0.03647040559027426,Defending,0.029837454736435686
rate_successful_sliding_tackles,PCA_Factor_2,0.01435668481857663,-0.030025306438165426,0.04943297869481953,Defending,0.01435668481857663
per90_fouls,PCA_Factor_2,0.1695350513777267,0.1066073578309776,0.24340749998288178,Discipline,0.1695350513777267
per90_fouls_suffered,PCA_Factor_2,0.335399173483102,0.2202471590056096,0.4956409957549912,Discipline,0.335399173483102
per90_yellow_cards,PCA_Factor_2,0.10769972405202567,0.06619746038770244,0.14609749360992316,Discipline,0.10769972405202567
