player_index,player_id,player_name,n_seasons,pc1_score,pc2_score,pc3_score
614,70121,N. Gaitán,1,-2.7853216872760345,5.048956515470608,0.5833219991642179
615,70123,A. Witsel,4,4.2450296774115,-1.4289928518636614,1.4655750391612505
616,70125,Nolito,6,-3.81465258478744,2.3275991330547727,1.3284823203839868
617,70129,Rodrigo,6,-5.599463432498175,-0.1160452808550169,1.859257765265054
618,70136,S. Arias,3,1.7336115160524332,1.501734817481769,-0.8319325256865215
619,70139,E. Insúa,1,1.903081052875872,1.7273271887407768,-0.5745820758109368
620,70140,Daniel Carriço,6,4.8280496369545975,-2.127440963559861,1.0519856736506896
621,70159,R. van Wolfswinkel,1,-3.7244281885264843,-3.831739438918338,0.47895783894441096
622,70164,Miguel Lopes,1,3.0202749368030406,0.747133045555195,-2.7258562140882985
623,70235,Héldon,1,-2.6722863608511473,-0.4454354642115283,-1.0310909931524423
624,70315,Diogo Figueiras,1,0.29247461360319893,1.7919316614473801,-1.4108791553494866
625,70327,N. Ghilas,2,-5.414414555333781,-2.4816568019178042,-0.028532604729204616
626,70391,A. Ba,2,5.952864481202701,-2.305275118473398,0.30838945788051203
627,70451,Luisinho,5,1.9628956632680812,1.4618445221429943,-2.6929418511782166
628,70507,Paulo Oliveira,4,5.616079511738041,-2.416871149752318,-0.10233908846003033
629,70767,A. Santos,2,5.434531994066431,-3.5733483006992777,0.5835975954228586
630,70956,Rúben Semedo,1,4.394614745218479,-3.345339573045824,0.8755142726081496
631,70975,Bruma,1,-6.238432357366189,4.004992762331711,1.2388852776905024
632,71004,Candeias,1,-2.110141213292594,0.8490765171061496,-1.683222297761072
633,71057,Licá,1,-4.653423172902116,-0.5124242898616501,0.870893983608519
634,71911,Hernâni,1,-6.215238580974534,1.9134990300428987,-1.5868567965169127
635,71997,Hélder Lopes,1,1.620322264798089,1.909304898095041,-1.3072533183745183
636,85113,A. Toșca,1,4.127365293698569,-1.6031147056098576,-1.2706076220011127
637,86183,F. Roncaglia,5,4.527035568282155,-0.6038433978764545,-0.4151911360136732
638,86198,J. Sánchez Miño,1,2.765812699401807,0.9360886427105337,-0.5719336432679935
639,86200,S. Araújo,2,-5.0839707276391595,-2.4953141939918875,1.4311466977648069
640,86220,Gabriel Mercado,3,4.070794727789941,-1.4243027921611735,-0.24430086278694582
641,86234,E. Pérez,3,3.035891824772914,1.4866649488789871,0.17016664819552174
642,86239,G. Carrillo,4,-4.10746483287128,-5.830221406200257,1.0254520078443015
643,86298,E. Saveljich,1,3.609591205944247,-4.251157409520269,0.7286926159556976
644,86307,L. Vietto,4,-5.936426899689427,0.03705530398401012,2.337708825554258
645,86325,R. Funes Mori,3,5.319122307617673,-1.5018125634796327,0.692333185353419
646,86328,G. Pezzella,5,4.853351356886265,-2.9852006184105666,0.6975152213768889
647,86338,L. Ocampos,5,-4.177387460952648,0.6934657594824513,-0.3913438023347262
648,86507,L. Magallán,2,3.989504128963655,-3.0174098563435994,0.4112252791552745
649,86517,P. De Blasis,2,0.2217641309615547,2.9290193847187536,-0.7999536750588344
650,86548,S. Vergini,1,4.8799963310727374,-2.3771229553076867,0.1033085652924623
651,86623,A. Fernández,2,4.334236801713187,2.5876825743128666,0.8118584988725804
652,86716,M. Dos Santos,4,4.677992781287847,-3.682221324266571,-0.872949234589954
653,86737,F. Ferreyra,1,-3.8595211880763296,-3.877163343200982,-0.7000041168077038
654,86796,I. Marcone,2,4.319509477313457,0.15297023151328512,0.4465483461345056
655,86800,D. Benedetto,1,-5.232313694499485,-2.386052579098477,1.2709364428272127
656,86828,G. Pizarro,1,3.8103287965860306,1.246617664005503,0.9440335691642485
657,86882,L. Orbán,2,4.441267304163473,-1.3938579743619792,-2.6412925016223965
658,88642,E. Ávila,6,-4.617256283657372,-1.1312883134175604,-0.2902464455742632
659,88969,D. Musto,1,4.065748066763192,-1.56090465965374,-0.14966774284512147
660,89073,M. Acuña,4,0.8452020295283489,4.396857699488386,-0.4366396187201296
661,89133,Rodrigo Battaglia,3,2.831142864603463,-2.096800403180142,-0.8985830784122204
662,89550,M. Díaz,2,3.7235941898494858,3.0502908214070215,2.2232338651735963
663,89700,E. Roco,4,4.840777571418261,-3.204592270318443,0.2854247064910184
664,89712,F. Gutiérrez,1,1.5068939985265108,1.6233535485064667,-1.4290609367144071
665,90774,H. Palacios,3,2.6897527531251577,-0.8062880035869459,-2.396228450950013
666,91064,D. Torres,2,3.557072089300592,-0.30856316956624225,-0.25320604722936385
667,91268,F. Hinestroza,1,-3.964311131750394,-1.1182687284048052,-0.38278797478802323
668,91282,M. Cuero,1,-5.462849972561083,1.7511455465978987,-1.3814218287689093
669,91519,J. Córdoba,1,-6.313028560642275,-3.8952026391668073,1.0237260522292504
670,91702,J. Mojica,7,0.6447622947389668,2.9188375247086036,-2.4431253785022635
671,92874,L. Vyntra,1,4.727648818128841,-1.8082006346618114,0.7158804652664468
672,92886,Simão Mate,2,4.055867031668914,-2.381122654183901,0.5332706858566076
673,92893,Toché,1,-3.6418829527570424,-5.3210023606541075,1.759753630213794
674,92910,L. Fejsa,1,3.680442912344618,-0.8126167078223829,-0.9948081197622902
675,93000,Antunes,2,1.4831658783890163,0.9728678943758925,-3.429985568460708
676,93003,D. Siovas,5,4.368767891401713,-2.1994310910305495,-0.2170717034699511
677,93033,Edimar,1,2.401518124041299,2.4030697883335144,-0.5571065624314349
678,94764,Y. Muto,1,-5.4332622685220775,-3.5530884995640677,-0.24056147213944484
679,94828,G. Shibasaki,1,-0.947388117083836,-0.5794385667254943,-0.39962440593018994
680,98072,S. Šćepović,1,-3.970840446286339,-3.8795424663039437,1.7865669447832375
681,101605,S. Doumbia,1,-6.253646268607536,-5.102498084908183,1.2862751675184645
682,101635,F. Caicedo,3,-4.5555872653045775,-4.613218771102988,1.1725558815746482
683,101649,N. Pareja,2,5.459418941586897,-0.9387361432839826,0.9238669338980353
684,101707,F. Smolov,1,-5.216992411299721,-2.007507798721172,0.07118264123194702
685,101795,L. Traoré,1,-5.338811073442792,-3.9117749857055077,1.353912407793908
686,101847,M. Carcela-González,1,-4.731101804065822,0.5570442767361542,-0.6512996476966093
687,101948,O. Vranješ,1,4.674199893126734,-1.8193562236062906,-4.270699171659289
688,105330,NA,1,3.922793649114463,3.617317919587976,-0.08197001802980275
689,105376,N. Kalinić,1,-5.318228307842374,-5.083920480365719,0.41920263202487956
690,105378,Y. Konoplyanka,1,-6.112884969381823,3.701157687580725,-0.3040148865956458
691,105541,Lucas Pérez,7,-5.922488343927183,0.24250411524759444,1.6008076168156848
692,105616,B. Ideye,1,-3.970677582017718,-4.948957540247793,0.8970363723313601
693,105618,A. Kravets,1,-5.081417586885415,-3.8491975613403326,1.4552822199577409
694,109110,V. Haroyan,1,4.28540528809535,-3.843206944310719,-1.6154419976892602
