parameter,observed_variable,mean,median,sd,q5,q95,truth_value,error,rhat,ess_bulk,ess_tail
sigma_epsilon_sd,per90_assists,0.53808566588,0.538066945,0.00660666363151204,0.527052234,0.5488144064999999,0.533893080917187,0.00419258496281294,1.001008065895208,3299.58840289314,2890.2998879536217
sigma_epsilon_sd,per90_xg_shot,0.40468720727,0.404609835,0.00461795669016511,0.397306451,0.412285943,0.40557441322598603,-8.872059559860146e-4,1.0011978798999523,2712.642525594745,2882.4235788600513
sigma_epsilon_sd,per90_xg_assist,0.402411904665,0.40241567,0.00475689398205253,0.39461062,0.410201587,0.40231648411136117,9.542055363881419e-5,1.0017387046563886,3082.783729594164,3214.0755769436646
sigma_epsilon_sd,per90_shots,0.616047474825,0.615849885,0.0071100232149251,0.604605062,0.6280394174999999,0.6086949355201796,0.007352539304820382,1.0016822364227973,3174.9178405592725,3402.2297656406654
sigma_epsilon_sd,per90_head_shots,0.59996448805,0.599964215,0.00690606833217569,0.5887847545,0.611486506,0.6125495558371767,-0.012585067787176718,1.0007921822756154,3390.782991764778,3241.904572165254
sigma_epsilon_sd,rate_shots_on_target,0.489796722405,0.489810795,0.00587414024377841,0.480193082,0.4996065655,0.4930883542401716,-0.0032916318351716156,1.00030419348063,3577.6278718364224,2682.43330077782
sigma_epsilon_sd,rate_goal_conversion,0.5104335425775,0.5103337050000001,0.00597789932303697,0.5005634245,0.5203483560000001,0.5074121195590123,0.0030214230184876234,1.0015513266216975,3411.46312201255,3008.9423330590753
sigma_epsilon_sd,per90_received_pass,0.4096590655175,0.40957554,0.00493270105463742,0.4015154865,0.4179677765,0.403233346901834,0.006425718615665987,1.0013775238986666,3296.0976931219307,2949.694015925145
sigma_epsilon_sd,per90_passes,0.5345547408625,0.53457233,0.00621962874398068,0.524464446,0.544761723,0.5315704114036635,0.002984329458836532,1.0005111516852334,3153.805113584104,2533.45302632692
sigma_epsilon_sd,per90_forward_passes,0.460664142015,0.460465405,0.00539043771505689,0.45202012099999994,0.469641577,0.4597886126721278,8.755293428722166e-4,1.0003475245388498,3126.4666946769576,3037.961740473449
sigma_epsilon_sd,per90_back_passes,0.44552347705,0.445479525,0.00513982421913479,0.4371140795,0.454162887,0.44681180655024944,-0.00128832950024943,1.0004809837951152,3258.3800447667268,3204.870945556603
sigma_epsilon_sd,per90_lateral_passes,0.5869418308125,0.5868492700000001,0.00689062468255579,0.5757882535,0.59837603,0.591104886145331,-0.004163055332831012,0.9998611411349564,2825.284501640654,3206.423804985133
sigma_epsilon_sd,per90_long_passes,0.5292701266,0.529155195,0.00649767832486288,0.518613701,0.539971763,0.5288060308201239,4.6409577987605033e-4,1.0008900737260142,4089.6269050735073,3319.43593436843
sigma_epsilon_sd,per90_smart_passes,0.375770383635,0.37580745,0.00450419390042725,0.368397442,0.383313319,0.3754167048959061,3.536787390938656e-4,1.0001506099841977,3695.00763111076,2807.250414203062
sigma_epsilon_sd,per90_progressive_passes,0.52267258893,0.5225364699999999,0.0063332135583088,0.5126441509999999,0.533372949,0.5186596556566656,0.004012933273334407,1.0007490131967611,3038.5499622317625,2713.8578531010426
sigma_epsilon_sd,per90_passes_to_final_third,0.443957344235,0.443852055,0.00531010488286239,0.4355670545,0.4528943655,0.44871773216873406,-0.004760387933734067,1.0018250087319642,2511.1754196248316,3035.5352443373963
